Brand,model,Year,kmDriven,Transmission,Owner,FuelType,PostedDate,AdditionInfo,AskPrice,CarUrl
Volkswagen,Tiguan,2017,"79,085 km",Automatic,second,Diesel,Today,"Volkswagen Tiguan 2.0 TDI Highline, 2017, Diesel","₹ 18,25,000",https://olx.in/item/cars-c84-used-volkswagen-tiguan-in-madhapur-hyderabad-iid-1792830033
Hyundai,Xcent,2018,"85,000 km",Manual,second,hybrid,Nov 15,"Hyundai Xcent [2017-2020] 1.2 CRDi S (O), 2018, CNG & Hybrids","₹ 4,89,000",https://olx.in/item/cars-c84-used-hyundai-xcent-in-nanpura-surat-iid-1790076226
Maruti Suzuki,Swift-Dzire,2017,"70,000 km",Automatic,first,Petrol,Today,"Maruti Suzuki Swift Dzire VXI AT Optional, 2017, Petrol","₹ 5,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-sector-49-noida-iid-1768636382
Volkswagen,VentoTest,2014,"58,000 km",Automatic,first,Diesel,Today,"Volkswagen Vento GT 1.5 TDI, 2014, Diesel","₹ 5,50,000",https://olx.in/item/cars-c84-used-volkswagen-ventotest-in-nagole-hyderabad-iid-1794207441
Honda,Civic,2008,"105,000 km",Automatic,first,hybrid,4 days ago,Honda Civic 2008 CNG & Hybrids Well Maintained,"₹ 2,00,000",https://olx.in/item/cars-c84-used-honda-civic-in-utkarsha-nagar-ratnagiri-iid-1792910877
Maruti Suzuki,Alto-800,2016,"72,000 km",Manual,second,hybrid,Yesterday,Dec 2016 Green  cng  badiya condition luxury seat cover new service,"₹ 2,30,000",https://olx.in/item/cars-c84-used-maruti-suzuki-alto-800-in-mata-chowk-loharu-iid-1792073200
Mercedes-Benz,GLE Class,2019,"58,000 km",Automatic,first,Diesel,Today,"Mercedes-Benz GLE Class 3.0 350d 4MATIC, 2019, Diesel","₹ 44,75,000",https://olx.in/item/cars-c84-used-mercedes-benz-gle-class-in-poothole-thrissur-iid-1790094574
Maruti Suzuki,Sx4,2011,"69,838 km",Manual,second,hybrid,Nov 30,"Maruti Suzuki SX4 Vxi BSIV, 2011, CNG & Hybrids","₹ 1,75,000",https://olx.in/item/cars-c84-used-maruti-suzuki-sx4-in-ashok-vihar-delhi-iid-1791380704
Maruti Suzuki,Ciaz,2019,"68,000 km",Manual,first,Petrol,Today,Maruti Suzuki Ciaz 2019 Petrol 68000 Km Driven,"₹ 5,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ciaz-in-pushpanjali-roorkee-iid-1794214424
Skoda,Slavia,2023,"11,000 km",Automatic,first,Petrol,Today,"Skoda Slavia 1.5 TSI Style DSG, 2023, Petrol","₹ 15,50,000",https://olx.in/item/cars-c84-used-skoda-slavia-in-chembur-mumbai-iid-1790562163
Volkswagen,Tiguan,2019,"78,500 km",Automatic,first,Diesel,Today,"Volkswagen Tiguan 2.0 TDI Comfortline, 2019, Diesel","₹ 17,50,000",https://olx.in/item/cars-c84-used-volkswagen-tiguan-in-santacruz-east-mumbai-iid-1789167040
Hyundai,Venue,2022,"83,000 km",Manual,first,Diesel,Today,"Hyundai Venue SX MT, 2022, Diesel","₹ 9,65,000",https://olx.in/item/cars-c84-used-hyundai-venue-in-sector-22b-chandigarh-iid-1788220486
Hyundai,Venue,2021,"11,000 km",Manual,first,Petrol,Today,"Hyundai Venue 1.2 S Plus, 2021, Petrol","₹ 8,75,000",https://olx.in/item/cars-c84-used-hyundai-venue-in-fatima-nagar-pune-iid-1784525777
Maruti Suzuki,Ertiga,2021,"52,428 km",Manual,first,hybrid,Today,"Maruti Suzuki Ertiga 2022-2023 VXI CNG, 2021, CNG & Hybrids","₹ 10,45,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-vile-parle-east-mumbai-iid-1790019146
Maruti Suzuki,Ertiga,2020,"42,126 km",Manual,first,hybrid,Today,"Maruti Suzuki Ertiga 1.4 VXI CNG Anniversary Edition, 2020, CNG & Hy..","₹ 10,25,001",https://olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-hadapsar-pune-iid-1781297039
Kia,Sonet,2023,"19,000 km",Automatic,first,Diesel,Today,"Kia Sonet HTX Plus AT D, 2023, Diesel","₹ 13,00,000",https://olx.in/item/cars-c84-used-kia-sonet-in-chembur-mumbai-iid-1790256843
BMW,7 Series,2015,"85,000 km",Automatic,second,Diesel,Today,"BMW 7 Series 3.0 730Ld Prestige, 2015, Diesel","₹ 13,75,000",https://olx.in/item/cars-c84-used-bmw-7-series-in-sector-38-noida-golf-course-noida-iid-1793292299
Hyundai,Aura,2021,"40,215 km",Automatic,first,Diesel,Today,"Hyundai Aura SX Plus CRDi Automatic, 2021, Diesel","₹ 7,90,000",https://olx.in/item/cars-c84-used-hyundai-aura-in-vadasery-nagercoil-iid-1784627140
Tata,Zest,2018,"137,000 km",Automatic,second,hybrid,Dec 20,Tata Zest 2018 CNG & Hybrids 137000 Km Driven,"₹ 2,30,000",https://olx.in/item/cars-c84-used-tata-zest-in-purana-kanpur-kanpur-iid-1793247957
Maruti Suzuki,Swift-Dzire,2020,"90,000 km",Manual,second,hybrid,Yesterday,"Maruti Suzuki Swift Dzire VDI(O) AT, 2020, CNG & Hybrids","₹ 6,15,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-banashankari-bengaluru-iid-1785908725
Honda,City ZX,2017,"59,000 km",Automatic,second,Petrol,Yesterday,Honda City ZX 2017 Petrol 59000 Km Driven,"₹ 8,95,000",https://olx.in/item/cars-c84-used-honda-city-zx-in-nelamangala-bengaluru-iid-1793065229
Hyundai,i10,2016,"58,000 km",Manual,first,hybrid,Today,"Hyundai i10, 2016, CNG & Hybrids","₹ 4,60,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-kanodar-gujarat-iid-1787749993
BMW,5 Series Gt,2011,"80,594 km",Automatic,second,Diesel,Dec 02,BMW 5 Series GT 2011 Diesel Well Maintained,"₹ 14,50,000",https://olx.in/item/cars-c84-used-bmw-5-series-gt-in-dakshingaon-guwahati-iid-1791602575
MG,Hector Plus,2023,"15,000 km",Automatic,first,Petrol,Today,"MG Hector Plus Savvy Pro 1.5 Turbo Petrol CVT 6 STR Dual Tone, 2023,..","₹ 21,49,000",https://olx.in/item/cars-c84-used-mg-hector-plus-in-moti-nagar-delhi-iid-1789673469
Maruti Suzuki,Wagon-R,2017,"62,000 km",Automatic,second,hybrid,Dec 24,"Maruti Suzuki Wagon R VXI AMT Opt, 2017, CNG & Hybrids","₹ 3,59,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-mg-road-gurgaon-iid-1785520355
BMW,1 Series,2014,"69,000 km",Automatic,second,Diesel,Today,"BMW 1 Series 2.0 118D Sport Line, 2014, Diesel","₹ 8,50,000",https://olx.in/item/cars-c84-used-bmw-1-series-in-karol-bagh-delhi-iid-1790536524
Porsche,Cayenne,2020,"50,000 km",Automatic,first,hybrid,Dec 04,"Porsche Cayenne E-Hybrid Platinum Edition, 2020, CNG & Hybrids","₹ 1,10,00,000",https://olx.in/item/cars-c84-used-porsche-cayenne-in-santacruz-west-mumbai-iid-1787435919
Volkswagen,VentoTest,2013,"89,000 km",Manual,second,Diesel,Dec 13,Volkswagen Vento 2013 Diesel 89000 Km Driven,"₹ 3,50,000",https://olx.in/item/cars-c84-used-volkswagen-ventotest-in-sri-nagar-colony-khammam-iid-1792612444
Hyundai,Creta,2016,"78,000 km",Manual,second,hybrid,Yesterday,"Hyundai Creta 1.6 EX CRDi, 2016, CNG & Hybrids","₹ 6,35,000",https://olx.in/item/cars-c84-used-hyundai-creta-in-rohini-sector-6-delhi-iid-1776748415
Volkswagen,Polo,2013,"41,000 km",Automatic,second,Petrol,Today,"Volkswagen Polo 2013-2015 GT TSI, 2013, Petrol","₹ 4,45,000",https://olx.in/item/cars-c84-used-volkswagen-polo-in-malad-west-mumbai-iid-1791400422
Honda,City,2020,"53,000 km",Automatic,first,Petrol,Today,"Honda City V Petrol CVT, 2020, Petrol","₹ 9,75,000",https://olx.in/item/cars-c84-used-honda-city-in-chennai-central-chennai-iid-1790411712
Maruti Suzuki,Ciaz,2019,"61,000 km",Automatic,second,hybrid,2 days ago,"Maruti Suzuki Ciaz 1.4 Sigma, 2019, CNG & Hybrids","₹ 6,90,000",https://olx.in/item/cars-c84-used-maruti-suzuki-ciaz-in-sg-highway-ahmedabad-iid-1792684856
Maruti Suzuki,Wagon-R,2010,"81,000 km",Automatic,second,hybrid,Yesterday,Maruti Suzuki Wagon R 2010 CNG & Hybrids 81000 Km Driven,"₹ 95,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-kayasthwari-tijara-iid-1793707720
Hyundai,Creta,2022,"19,000 km",Manual,first,Petrol,Today,"Hyundai Creta 1.5 SX, 2022, Petrol","₹ 13,79,999",https://olx.in/item/cars-c84-used-hyundai-creta-in-anna-nagar-chennai-iid-1792381457
Mahindra,Marazzo,2019,"44,000 km",Manual,second,Diesel,Today,"Mahindra Marazzo M2, 2019, Diesel","₹ 7,45,000",https://olx.in/item/cars-c84-used-mahindra-marazzo-in-banashankari-stage-1-bengaluru-iid-1792825226
Honda,Brio,2015,"21,000 km",Automatic,first,hybrid,Today,Honda Brio 2015 CNG & Hybrids 21000 Km Driven,"₹ 2,72,000",https://olx.in/item/cars-c84-used-honda-brio-in-rohini-sector-21-delhi-iid-1789919699
Toyota,Camry,2014,"122,000 km",Automatic,second,Petrol,Yesterday,"Toyota Camry Hybrid 2.5, 2014, Petrol","₹ 7,99,000",https://olx.in/item/cars-c84-used-toyota-camry-in-karol-bagh-delhi-iid-1792939625
Skoda,Rapid,2019,"65,000 km",Manual,second,Petrol,Dec 04,"Skoda Rapid, 2019, Petrol","₹ 7,90,000",https://olx.in/item/cars-c84-used-skoda-rapid-in-saravanampatti-coimbatore-iid-1791776484
Maruti Suzuki,Celerio-X,2019  ,,Automatic,first,hybrid,4 days ago,Maruti Suzuki Celerio X 2019 CNG & Hybrids,"₹ 2,80,000",https://olx.in/item/cars-c84-used-maruti-suzuki-celerio-x-in-kalyan-west-bhiwandi-iid-1783240688
Tata,Harrier,2022,"35,000 km",Automatic,first,Diesel,4 days ago,"Tata Harrier 2.0 XZA Sunroof Dual Tone, 2022, Diesel","₹ 16,50,000",https://olx.in/item/cars-c84-used-tata-harrier-in-ashok-vihar-delhi-iid-1793871564
Maruti Suzuki,Eeco,2010,"65,000 km",Manual,second,Petrol,Yesterday,"Maruti Suzuki Eeco 5 Seater AC, 2010, Petrol","₹ 2,65,000",https://olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-gandhipuram-coimbatore-iid-1794130466
Tata,Tiago,2018,"39,000 km",Manual,first,Petrol,Today,Tata Tiago 2018 Petrol 39000 Km Driven,"₹ 3,20,000",https://olx.in/item/cars-c84-used-tata-tiago-in-jawarhar-nagar-jamshedpur-iid-1794214447
Honda,Amaze,2019,"17,000 km",Automatic,first,Petrol,Today,"Honda Amaze VX CVT Petrol, 2019, Petrol","₹ 7,50,000",https://olx.in/item/cars-c84-used-honda-amaze-in-mevaram-kollam-iid-1790789468
Skoda,Kushaq,2023,"4,000 km",Automatic,first,Petrol,Today,"Skoda Kushaq 1.5 TSI Style DSG, 2023, Petrol","₹ 16,50,000",https://olx.in/item/cars-c84-used-skoda-kushaq-in-chembur-mumbai-iid-1787364730
Hyundai,Grand i10,2016,"37,000 km",Manual,second,Petrol,Today,"Hyundai Grand i10 2013-2016 CRDi Sportz, 2016, Petrol","₹ 4,95,000",https://olx.in/item/cars-c84-used-hyundai-grand-i10-in-whitefield-bengaluru-iid-1792380723
Hyundai,Grand i10 Nios,2021,"62,250 km",Automatic,first,hybrid,Dec 24,Hyundai Grand i10 Nios 2021 CNG & Hybrids Well Maintained,"₹ 5,99,000",https://olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-rajivbriged-nagar-mahesana-iid-1792384020
Volkswagen,Polo,2020,"36,521 km",Automatic,first,Petrol,Today,"Volkswagen Polo GT TSI, 2020, Petrol","₹ 7,98,000",https://olx.in/item/cars-c84-used-volkswagen-polo-in-annapurneshwari-bengaluru-iid-1793109356
Mahindra,KUV 100,2016,"50,000 km",Manual,first,hybrid,Today,Mahindra KUV 100 2016 CNG & Hybrids 50000 Km Driven,"₹ 3,30,000",https://olx.in/item/cars-c84-used-mahindra-kuv-100-in-pant-nagar-delhi-iid-1794197352
Renault,KWID,2019,"52,004 km",Manual,first,Petrol,Today,"Renault KWID RXT 1.0, 2019, Petrol","₹ 3,25,000",https://olx.in/item/cars-c84-used-renault-kwid-in-kannur-payyannur-iid-1794212697
Volkswagen,Polo,2018,"48,000 km",Automatic,first,Petrol,Today,"Volkswagen Polo, 2018, Petrol","₹ 7,00,000",https://olx.in/item/cars-c84-used-volkswagen-polo-in-katargam-surat-iid-1793752576
Hyundai,Tucson,2018,"71,422 km",Automatic,first,Diesel,Today,"Hyundai Tucson [2016-2020] 2.0 GLS 2WD AT Diesel, 2018, Diesel","₹ 14,50,000",https://olx.in/item/cars-c84-used-hyundai-tucson-in-marine-drive-kochi-iid-1789373614
Honda,City,2017,"68,000 km",Manual,first,Petrol,Today,"Honda City 1.5 VX i-VTEC MT, 2017, Petrol","₹ 7,60,000",https://olx.in/item/cars-c84-used-honda-city-in-nana-varachha-surat-iid-1779730547
Toyota,Innova Crysta,2019,"105,000 km",Automatic,second,Diesel,Today,"Toyota Innova Crysta 2.8Z Automatic, 2019, Diesel","₹ 17,95,000",https://olx.in/item/cars-c84-used-toyota-innova-crysta-in-golf-course-road-gurgaon-iid-1793698757
Toyota,Fortuner,2019,"40,000 km",Automatic,first,Petrol,Nov 26,"Toyota Fortuner 3.0 4x2 Automatic, 2019, Petrol","₹ 25,95,000",https://olx.in/item/cars-c84-used-toyota-fortuner-in-sector-16-noida-iid-1791060178
Hyundai,New i20,2020,"50,000 km",Manual,second,Diesel,Today,Hyundai  i20 2020 Diesel 50000 Km Driven,"₹ 7,40,000",https://olx.in/item/cars-c84-used-hyundai-new-i20-in-andagoil-valangaiman-iid-1793953727
Maruti Suzuki,Wagon-R,2022,"13,000 km",Automatic,second,Petrol,Yesterday,"Maruti Suzuki Wagon R AMT VXI Plus Option, 2022, Petrol","₹ 5,75,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-khajrana-indore-iid-1791896043
Renault,KWID,2018,"67,000 km",Manual,second,Petrol,Today,Renault KWID 2018,"₹ 2,25,000",https://olx.in/item/cars-c84-used-renault-kwid-in-islam-nagar-khatauli-iid-1792467159
Maruti Suzuki,Alto,2010,35 km,Automatic,first,hybrid,Dec 22,Ha Bach rhe he,"₹ 72,000",https://olx.in/item/cars-c84-used-maruti-suzuki-alto-in-khora-noida-iid-1793456476
Ford,Figo,2010,"75,000 km",Manual,second,Diesel,Today,"Ford Figo 1.5D TITANIUM SPORTS PACK, 2010, Diesel","₹ 1,90,000",https://olx.in/item/cars-c84-used-ford-figo-in-professors-colony-bhopal-iid-1783079472
Mini,Cooper S,2019,"55,000 km",Automatic,second,Diesel,Yesterday,"Mini Cooper S, 2019, Diesel","₹ 37,00,000",https://olx.in/item/cars-c84-used-mini-cooper-s-in-puthanathani-malappuram-iid-1775433676
Ford,Endeavour,2016,"80,000 km",Manual,second,Diesel,Dec 12,Ford Endeavour 2016 Diesel 80000 Km Driven,"₹ 27,50,000",https://olx.in/item/cars-c84-used-ford-endeavour-in-sector-21-panchkula-iid-1786726938
Ambassador,Ambassador,2023,"54,000 km",Manual,first,Petrol,Today,Ambassador Grand Petrol,"₹ 4,21,000",https://olx.in/item/cars-c84-used-ambassador-ambassador-in-walgaon-road-amravati-iid-1793550824
Maruti Suzuki,Celerio,2014,"58,000 km",Automatic,second,Petrol,Yesterday,"Maruti Suzuki Celerio VXI AMT, 2014, Petrol","₹ 2,65,000",https://olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-sector-19-noida-iid-1788694651
Kia,Carnival,2021,"100,000 km",Automatic,first,Diesel,Yesterday,"Kia Carnival, 2021, Diesel","₹ 27,00,000",https://olx.in/item/cars-c84-used-kia-carnival-in-nungambakkam-chennai-iid-1794130451
Toyota,Corolla Altis,2018,"90,000 km",Automatic,second,Petrol,Today,"Toyota Corolla Altis 1.8 VL CVT, 2018, Petrol","₹ 12,99,000",https://olx.in/item/cars-c84-used-toyota-corolla-altis-in-palarivattom-kochi-iid-1769151960
Maruti Suzuki,Baleno,2018,"65,000 km",Automatic,second,hybrid,Today,"Maruti Suzuki Baleno 1.2 Delta AT, 2018, CNG & Hybrids","₹ 5,65,000",https://olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-karol-bagh-delhi-iid-1790539842
Skoda,Octavia,2017,"64,000 km",Automatic,second,Petrol,Today,"Skoda Octavia 2013-2017 Style Plus 1.8 TSI AT, 2017, Petrol","₹ 8,75,000",https://olx.in/item/cars-c84-used-skoda-octavia-in-fatima-nagar-pune-iid-1793753361
Honda,City ZX,2008,"89,000 km",Manual,first,Petrol,Today,"Honda City ZX GXi, 2008, Petrol","₹ 2,35,000",https://olx.in/item/cars-c84-used-honda-city-zx-in-nungambakkam-chennai-iid-1793153073
Maruti Suzuki,S-Cross,2021,"57,510 km",Manual,first,hybrid,Dec 12,"Maruti Suzuki S-Cross 1.5 Zeta, 2021, CNG & Hybrids","₹ 8,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-s-cross-in-pal-patia-village-surat-iid-1792511706
Mercedes-Benz,GLC Class,2021,"32,000 km",Automatic,first,Petrol,Today,"Mercedes-Benz GLC Class 200, 2021, Petrol","₹ 55,00,000",https://olx.in/item/cars-c84-used-mercedes-benz-glc-class-in-karol-bagh-delhi-iid-1785089363
Hyundai,i10,2011,"95,168 km",Manual,first,hybrid,Today,"Hyundai i10 1.2 Kappa Magna, 2011, CNG & Hybrids","₹ 1,10,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-patel-nagar-delhi-iid-1792781461
Honda,City,2016,"56,171 km",Manual,second,Petrol,Dec 22,"Honda City S MT, 2016, Petrol","₹ 6,25,000",https://olx.in/item/cars-c84-used-honda-city-in-ansal-pradhan-enclave-bhopal-iid-1789749621
Maruti Suzuki,Swift,2020,"46,000 km",Automatic,first,Petrol,Today,"Maruti Suzuki Swift 2018 AMT ZXI, 2020, Petrol","₹ 7,20,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-in-edappally-kochi-iid-1779173181
BMW,5 Series,2022,"19,999 km",Automatic,first,Petrol,Today,"BMW 5 Series 530 i Sport Line, 2022, Petrol","₹ 66,99,999",https://olx.in/item/cars-c84-used-bmw-5-series-in-yelahanka-bengaluru-iid-1789167747
Hyundai,Elantra,2019,"31,000 km",Manual,first,Petrol,Today,"Hyundai Elantra VTVT SX, 2019, Petrol","₹ 11,75,000",https://olx.in/item/cars-c84-used-hyundai-elantra-in-versova-mumbai-iid-1786636821
Maruti Suzuki,Alto-800,2024,0 km,Automatic,first,hybrid,Dec 19,Garage shedl for sale,"₹ 2,80,000",https://olx.in/item/cars-c84-used-maruti-suzuki-alto-800-in-hadapsar-pune-iid-1792739973
Tata,Vista Tech,2011,"87,000 km",Manual,second,Diesel,Today,"Tata Vista Tech LS BS III, 2011, Diesel","₹ 2,60,000",https://olx.in/item/cars-c84-used-tata-vista-tech-in-moolapattrai-park-road-erode-iid-1792335705
Honda,City,2020,"52,000 km",Automatic,first,hybrid,Today,"Honda City 1.5 ZX CVT i-VTEC, 2020, CNG & Hybrids","₹ 10,50,000",https://olx.in/item/cars-c84-used-honda-city-in-nana-varachha-surat-iid-1791460065
Honda,City ZX,2006,"81,011 km",Automatic,second,Petrol,Today,Honda City ZX Automatic RC Valid 2027 Well Maintained,"₹ 2,10,000",https://olx.in/item/cars-c84-used-honda-city-zx-in-mehdipatnam-hyderabad-iid-1792010073
Maruti Suzuki,Omni,2014,"69,000 km",Manual,second,Petrol,Today,"Maruti Suzuki Omni 8 Seater, 2014, Petrol","₹ 2,75,000",https://olx.in/item/cars-c84-used-maruti-suzuki-omni-in-karanataka-bangalore-nagarabhavi-2nd-stage-bengaluru-iid-1774936451
Hyundai,Aura,2021,"40,000 km",Manual,first,hybrid,Yesterday,"Hyundai Aura 1.2 S CNG, 2021, CNG & Hybrids","₹ 7,15,000",https://olx.in/item/cars-c84-used-hyundai-aura-in-phi-iii-greater-noida-iid-1765678837
Jaguar,XJ,2016,"33,000 km",Automatic,second,Diesel,Today,"Jaguar XJ L 3.0 V6 Portfolio, 2016, Diesel","₹ 37,00,000",https://olx.in/item/cars-c84-used-jaguar-xj-in-baroda-dairy-chowk-vadodara-iid-1783974567
Renault,Duster,2018,"107,000 km",Automatic,second,Diesel,Today,Duster automatic 110 ps 2018,"₹ 5,90,000",https://olx.in/item/cars-c84-used-renault-duster-in-nh-8-vapi-iid-1793686830
Maruti Suzuki,Swift-Dzire,2010,"120,000 km",Automatic,first,hybrid,Dec 16,Maruti Suzuki Swift Dzire 2010,"₹ 1,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-chawala-colony-sonipat-iid-1792852204
Volkswagen,VentoTest,2013,"52,000 km",Automatic,second,Petrol,Today,Volkswagen Vento 2013 Petrol 52000 Km Driven,"₹ 3,29,000",https://olx.in/item/cars-c84-used-volkswagen-ventotest-in-kushum-puri-colony-patna-iid-1793382804
Bajaj,RE60,2023,"45,000 km",Manual,first,hybrid,Today,Auto cng bjaj for sale,"₹ 1,45,000",https://olx.in/item/cars-c84-used-bajaj-re60-in-bargadwa-gorakhpur-gorakhpur-iid-1794204395
Toyota,Innova,2009,"175,000 km",Manual,second,Diesel,Today,"Toyota Innova 2.5 V 7 STR, 2009, Diesel","₹ 6,35,000",https://olx.in/item/cars-c84-used-toyota-innova-in-gandhipuram-coimbatore-iid-1794212448
Maruti Suzuki,Swift-Dzire,2017,"61,210 km",Automatic,second,hybrid,Dec 13,"Maruti Suzuki Swift Dzire AMT ZXI Plus, 2017, CNG & Hybrids","₹ 4,60,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-model-town-delhi-iid-1792584097
Hyundai,Getz Prime,2007,"85,000 km",Automatic,second,hybrid,Dec 11,Hyundai Getz Prime 2007,"₹ 70,000",https://olx.in/item/cars-c84-used-hyundai-getz-prime-in-laxmiganj-society-talod-iid-1792410315
Hyundai,i10,2017  ,,Manual,second,Diesel,Today,Hyundai i10 2017 urgent sale,"₹ 3,80,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-vilamal-thiruvarur-iid-1794210754
Maruti Suzuki,Swift,2016,"148,000 km",Automatic,first,hybrid,Dec 24,Maruti Suzuki Swift 2016 CNG & Hybrids Good Condition,"₹ 3,00,000",https://olx.in/item/cars-c84-used-maruti-suzuki-swift-in-chotu-ram-park-bahadurgarh-iid-1793587586
Mercedes-Benz,CLA,2015,"28,000 km",Automatic,first,Diesel,Today,"Mercedes-Benz CLA 200 CDI Sport, 2015, Diesel","₹ 16,25,000",https://olx.in/item/cars-c84-used-mercedes-benz-cla-in-matunga-road-mumbai-iid-1793298292
Renault,Duster,2013,"72,300 km",Manual,second,Diesel,Today,"Renault Duster 85PS Diesel RxL, 2013, Diesel","₹ 3,70,000",https://olx.in/item/cars-c84-used-renault-duster-in-varacha-surat-iid-1793479993
MG,Hector,2020,"64,000 km",Manual,first,Diesel,Today,"MG Hector 2.0 Sharp Diesel, 2020, Diesel","₹ 14,50,000",https://olx.in/item/cars-c84-used-mg-hector-in-thanjavur-tamil-nadu-iid-1794215519
Chevrolet,Cruze,2014,"72,400 km",Automatic,first,Diesel,Today,"Chevrolet Cruze LTZ AT, 2014, Diesel","₹ 4,75,000",https://olx.in/item/cars-c84-used-chevrolet-cruze-in-varacha-surat-iid-1793484617
Tata,Tigor,2023,"40,000 km",Automatic,first,hybrid,Dec 12,Tata Tigor 2023 CNG & Hybrids 40000 Km Driven,"₹ 6,70,000",https://olx.in/item/cars-c84-used-tata-tigor-in-kacheri-ghazipur-iid-1792458220
Hyundai,i10,2012,"85,000 km",Automatic,second,hybrid,2 days ago,Hyundai i10 2012 CNG & Hybrids 85000 Km Driven,"₹ 1,00,000",https://olx.in/item/cars-c84-used-hyundai-i10-in-khatri-garhi-baraut-iid-1794055801
Maruti Suzuki,Celerio,2016,"55,000 km",Automatic,second,hybrid,5 days ago,"Maruti Suzuki Celerio 1.0 ZXI AMT, 2016, CNG & Hybrids","₹ 4,51,000",https://olx.in/item/cars-c84-used-maruti-suzuki-celerio-in-vesu-gaon-surat-iid-1792840675
Tata,Tiago,2024,75 km,Automatic,first,hybrid,Dec 13,"Tata Tiago 1.2 Revotron XZ Plus CNG, 2024, CNG & Hybrids","₹ 8,75,000",https://olx.in/item/cars-c84-used-tata-tiago-in-dwarka-delhi-iid-1792628494
Hyundai,Creta,2020,"46,941 km",Automatic,second,Petrol,Today,"Hyundai Creta 1.4 SX (O) Turbo Petrol DCT, 2020, Petrol","₹ 13,17,000",https://olx.in/item/cars-c84-used-hyundai-creta-in-cholurpalya-bengaluru-iid-1792934349
Datsun,GO,2015,"51,000 km",Manual,first,Petrol,Today,"Datsun GO, 2015, Petrol","₹ 1,90,000",https://olx.in/item/cars-c84-used-datsun-go-in-dindoli-surat-iid-1794029004
Maruti Suzuki,Baleno,2015,"60,000 km",Automatic,first,hybrid,5 days ago,"Maruti Suzuki Baleno 1.2 Delta AT, 2015, CNG & Hybrids","₹ 5,50,000",https://olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-naranpura-ahmedabad-iid-1785714480
Hyundai,Venue,2021,"28,000 km",Manual,first,Petrol,Sep 23,"Hyundai Venue SX Turbo, 2021, Petrol","₹ 8,75,000",https://olx.in/item/cars-c84-used-hyundai-venue-in-sector-12-faridabad-iid-1784641383
BMW,3 Series,2013,"75,000 km",Automatic,second,Diesel,Today,"BMW 3 Series 320d Sport, 2013, Diesel","₹ 7,50,000",https://olx.in/item/cars-c84-used-bmw-3-series-in-chandigarh-airport-area-chandigarh-iid-1788710687
Ford,Free Style,2018,"89,000 km",Manual,second,Diesel,Today,"Ford Freestyle Titanium, 2018, Diesel","₹ 3,90,000",https://olx.in/item/cars-c84-used-ford-free-style-in-ramesh-nagar-delhi-iid-1794041907
Mahindra,XUV500,2016,"90,000 km",Automatic,first,Diesel,Nov 30,"Mahindra XUV500 W8 AT, 2016, Diesel","₹ 7,95,000",https://olx.in/item/cars-c84-used-mahindra-xuv500-in-chembur-mumbai-iid-1789152151
Honda,Civic,2010,"150,000 km",Manual,second,Petrol,Dec 05,HONDA CIVIC 2010 1.8 VX CVT IV-TEC,"₹ 3,50,000",https://olx.in/item/cars-c84-used-honda-civic-in-krishna-colony-coimbatore-iid-1791825321
Maruti Suzuki,Alto-800,2021,"36,499 km",Manual,first,Petrol,Today,"Maruti Suzuki Alto 800 2019-2023 0.8 LXI (O), 2021, Petrol","₹ 3,65,000",https://olx.in/item/cars-c84-used-maruti-suzuki-alto-800-in-varkala-kallambalam-alamcode-thiruvananthapuram-district-iid-1794213291
Hyundai,Santro,2012,35 km,Automatic,second,hybrid,5 days ago,Rashid alvi,"₹ 1,50,000",https://olx.in/item/cars-c84-used-hyundai-santro-in-ajampur-bhan-sherkot-iid-1793758984
Maruti Suzuki,Wagon-R,2016,"92,000 km",Automatic,second,hybrid,Dec 16,Maruti Suzuki Wagon R 2016 CNG & Hybrids 54000 Km Driven,"₹ 2,95,000",https://olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-sindhawali-meerut-iid-1792636030
BMW,X5,2016,"77,000 km",Automatic,second,Diesel,Today,"BMW X5 xDrive 30d, 2016, Diesel","₹ 30,99,000",https://olx.in/item/cars-c84-used-bmw-x5-in-santacruz-west-mumbai-iid-1774452293
